Time(ms) V(mV) m( ) h( ) j( ) d( ) f( ) x( ) CaI(mMol )
  0.0000e+00 -8.4500e+01  1.7000e-03  9.8330e-01  9.8950e-01  3.0000e-03  1.0000e+00  5.6000e-03  2.0000e-04
  1.0000e-02 -8.4500e+01  1.6645e-03  9.8330e-01  9.8950e-01  3.0000e-03  1.0000e-00  5.6000e-03  1.9998e-04
  2.0000e-02 -8.4500e+01  1.6906e-03  9.8330e-01  9.8950e-01  3.0000e-03  1.0000e-00  5.6000e-03  1.9997e-04
  3.0000e-02 -8.4500e+01  1.6713e-03  9.8330e-01  9.8950e-01  3.0000e-03  1.0000e-00  5.6000e-03  1.9995e-04
  4.0000e-02 -8.4501e+01  1.6855e-03  9.8330e-01  9.8950e-01  2.9999e-03  1.0000e-00  5.6000e-03  1.9994e-04
  5.0000e-02 -8.4501e+01  1.6749e-03  9.8330e-01  9.8950e-01  2.9999e-03  1.0000e-00  5.6000e-03  1.9992e-04
  6.0000e-02 -8.4501e+01  1.6826e-03  9.8330e-01  9.8950e-01  2.9999e-03  1.0000e-00  5.6000e-03  1.9991e-04
  7.0000e-02 -8.4501e+01  1.6769e-03  9.8330e-01  9.8950e-01  2.9999e-03  1.0000e-00  5.6000e-03  1.9989e-04
  8.0000e-02 -8.4501e+01  1.6811e-03  9.8330e-01  9.8950e-01  2.9999e-03  1.0000e-00  5.6000e-03  1.9988e-04
  9.0000e-02 -8.4501e+01  1.6779e-03  9.8330e-01  9.8950e-01  2.9999e-03  1.0000e-00  5.6000e-03  1.9986e-04
  1.0000e-01 -8.4501e+01  1.6802e-03  9.8330e-01  9.8950e-01  2.9999e-03  1.0000e-00  5.6000e-03  1.9985e-04
  1.1000e-01 -8.4502e+01  1.6784e-03  9.8330e-01  9.8950e-01  2.9999e-03  1.0000e-00  5.6000e-03  1.9983e-04
  1.2000e-01 -8.4502e+01  1.6796e-03  9.8329e-01  9.8950e-01  2.9998e-03  1.0000e-00  5.6000e-03  1.9982e-04
  1.3000e-01 -8.4502e+01  1.6787e-03  9.8329e-01  9.8950e-01  2.9998e-03  1.0000e-00  5.6000e-03  1.9980e-04
  1.4000e-01 -8.4502e+01  1.6793e-03  9.8329e-01  9.8950e-01  2.9998e-03  1.0000e-00  5.6000e-03  1.9979e-04
  1.5000e-01 -8.4502e+01  1.6788e-03  9.8329e-01  9.8950e-01  2.9998e-03  1.0000e-00  5.6000e-03  1.9977e-04
  1.6000e-01 -8.4502e+01  1.6791e-03  9.8329e-01  9.8950e-01  2.9998e-03  1.0000e-00  5.6000e-03  1.9976e-04
  1.7000e-01 -8.4502e+01  1.6788e-03  9.8329e-01  9.8950e-01  2.9998e-03  1.0000e-00  5.6001e-03  1.9974e-04
  1.8000e-01 -8.4503e+01  1.6790e-03  9.8329e-01  9.8950e-01  2.9998e-03  1.0000e-00  5.6001e-03  1.9973e-04
  1.9000e-01 -8.4503e+01  1.6788e-03  9.8329e-01  9.8950e-01  2.9997e-03  1.0000e-00  5.6001e-03  1.9971e-04
